customer_id,customer_name,customer_segment,risk_rating,customer_status,account_count,open_account_count,closed_account_count,total_current_balance,average_current_balance,total_overdraft_limit,negative_balance_account_count,first_account_opened_date,latest_account_opened_date
86,Margaret Sullivan,Premium,Medium,Active,3,3,0,144143.37,48047.79,50000.0,0,2025-07-14,2025-10-30
87,Melissa Brown,Premium,High,Active,1,1,0,8755.37,8755.37,1000.0,0,2025-09-23,2025-09-23
88,Melanie Larson,Student,Medium,Active,3,3,0,97603.59,32534.53,0.0,0,2025-07-14,2025-11-22
89,Jose Bryant,Student,Medium,Closed,0,0,0,0.0,0.0,0.0,0,,
90,Jason Mack,Retail,Medium,Active,1,1,0,13526.25,13526.25,0.0,0,2025-06-05,2025-06-05
91,Nicole Good,Premium,Low,Active,3,3,0,104939.1,34979.7,11000.0,0,2023-12-22,2024-05-06
92,Jill Powers,Premium,Low,Active,1,1,0,49629.68,49629.68,0.0,0,2025-10-06,2025-10-06
93,Victoria Boyd,Business,Low,Active,1,1,0,-4707.62,-4707.62,0.0,1,2025-12-21,2025-12-21
94,Kara Atkinson,Premium,Medium,Closed,1,1,0,363.23,363.23,5000.0,0,2025-04-16,2025-04-16
95,Michael Morrison,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
96,Matthew Parker,Student,High,Active,0,0,0,0.0,0.0,0.0,0,,
97,Gary James,Retail,High,Active,2,2,0,56202.1,28101.05,5500.0,0,2024-06-26,2024-09-02
98,Mary Duran,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
99,Denise Madden,Retail,Low,Active,3,3,0,162216.67,54072.22,2000.0,0,2024-10-15,2025-05-18
100,David Terry,Retail,Medium,Active,2,2,0,46360.72,23180.36,500.0,0,2024-07-27,2025-12-06
101,Thomas Cohen,Premium,Low,Active,1,1,0,58382.74,58382.74,5000.0,0,2025-02-06,2025-02-06
102,Patrick Gibbs,Premium,Low,Active,1,1,0,12056.9,12056.9,2000.0,0,2025-12-25,2025-12-25
103,Mary Miller,Retail,Low,Active,2,2,0,45345.83,22672.92,0.0,0,2023-08-23,2025-11-07
104,Brandon Jordan,Premium,High,Inactive,3,3,0,95818.14,31939.38,3000.0,0,2023-03-12,2025-03-22
105,Johnny Brown,Premium,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
106,Manuel Brock,Retail,Medium,Inactive,3,3,0,100696.12,33565.37,10000.0,0,2023-12-08,2025-08-27
107,Robert Long,Retail,High,Active,2,2,0,104001.75,52000.88,5000.0,0,2024-06-09,2024-12-23
108,William Mendoza,Business,Low,Active,1,1,0,50558.81,50558.81,0.0,0,2025-08-13,2025-08-13
109,Daniel Burgess,Business,Medium,Active,2,2,0,33518.52,16759.26,10000.0,0,2023-03-08,2025-07-28
110,Hannah Davis,Retail,Low,Closed,1,1,0,27491.03,27491.03,0.0,0,2025-03-07,2025-03-07
111,Matthew Foster,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
112,Lisa Matthews,Retail,Low,Active,2,2,0,66245.22,33122.61,5000.0,1,2025-12-13,2025-12-29
113,Laura Henderson,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
114,Ryan Burns,Retail,Low,Active,1,1,0,11712.53,11712.53,1000.0,0,2025-08-26,2025-08-26
115,Nicole Wolf,Premium,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
116,Rachel Li,Retail,Low,Active,2,2,0,72406.93,36203.47,7000.0,0,2024-08-23,2025-02-26
117,Frank Wright,Premium,Low,Active,2,2,0,60064.2,30032.1,6000.0,0,2025-06-07,2025-11-21
118,Jennifer Donaldson,Retail,Medium,Active,2,2,0,84260.13,42130.07,500.0,0,2023-12-23,2025-04-16
119,Elizabeth Baxter,Retail,Medium,Active,2,2,0,47184.5,23592.25,5000.0,0,2024-06-22,2025-11-11
120,Greg Martinez,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
121,Nathan Fuller,Retail,Medium,Active,2,2,0,50059.23,25029.62,2500.0,0,2024-12-17,2025-07-31
122,Kyle Griffith,Retail,Medium,Active,1,1,0,46858.7,46858.7,2000.0,0,2025-12-10,2025-12-10
123,Bonnie Valencia,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
124,James Davidson,Business,Low,Inactive,0,0,0,0.0,0.0,0.0,0,,
125,Audrey Salazar,Business,Medium,Active,1,1,0,15703.35,15703.35,5000.0,0,2024-02-10,2024-02-10
126,Alyssa Roman,Retail,High,Active,2,2,0,86818.5,43409.25,2500.0,0,2025-06-19,2025-10-04
127,Jack Mora,Business,Low,Active,0,0,0,0.0,0.0,0.0,0,,
128,Sharon Ayala,Premium,Low,Active,0,0,0,0.0,0.0,0.0,0,,
129,Jason Hall,Student,Medium,Active,1,0,1,6957.93,6957.93,1000.0,0,2023-08-16,2023-08-16
130,Kelly Haynes,Retail,Low,Active,3,2,1,98884.4,32961.47,1500.0,0,2024-03-09,2024-12-30
131,Nancy Stewart,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
132,Derek Wilson,Business,Low,Active,0,0,0,0.0,0.0,0.0,0,,
133,Kristi Pierce,Business,Low,Active,1,1,0,14755.27,14755.27,0.0,0,2025-10-14,2025-10-14
134,Matthew Lamb,Student,Low,Active,0,0,0,0.0,0.0,0.0,0,,
135,Jeremy Hernandez,Retail,Low,Active,1,1,0,9960.44,9960.44,0.0,0,2025-01-30,2025-01-30
136,Heather Stephens,Retail,Low,Active,1,1,0,226084.68,226084.68,5000.0,0,2025-02-18,2025-02-18
137,Robert Stark,Retail,Low,Active,1,1,0,13332.87,13332.87,500.0,0,2025-05-06,2025-05-06
138,Rita Waller,Premium,Low,Active,0,0,0,0.0,0.0,0.0,0,,
139,Shannon Yu,Retail,Low,Active,3,3,0,52011.8,17337.27,50500.0,1,2024-10-08,2025-11-06
140,Aaron Miles,Business,Medium,Active,2,1,1,28034.8,14017.4,500.0,0,2025-02-09,2025-12-18
141,Tracey Underwood,Premium,Low,Active,4,3,1,84301.73,21075.43,3000.0,0,2024-12-11,2025-12-25
142,Ashley Mendoza,Retail,Low,Active,3,3,0,74137.45,24712.48,500.0,0,2024-10-15,2024-12-17
143,Matthew Lawson,Retail,Low,Active,1,1,0,10970.62,10970.62,0.0,0,2025-12-24,2025-12-24
144,Aaron Miller,Retail,Medium,Active,2,2,0,35655.63,17827.82,500.0,0,2025-05-12,2025-09-29
145,Dennis Marshall,Business,Low,Active,1,1,0,31508.92,31508.92,0.0,0,2025-06-07,2025-06-07
146,Cynthia Evans,Premium,Medium,Active,1,1,0,22567.33,22567.33,500.0,0,2025-10-26,2025-10-26
147,Nicholas Aguirre,Premium,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
148,Ashlee Mitchell,Retail,Medium,Closed,2,2,0,61667.32,30833.66,2000.0,0,2023-10-07,2024-09-13
149,Stephanie Smith,Retail,Medium,Closed,3,3,0,55536.65,18512.22,5000.0,0,2024-04-23,2025-12-07
150,Caitlin Collins,Retail,Low,Active,5,5,0,182332.3,36466.46,2000.0,0,2025-03-31,2025-12-18
151,Becky Johnson,Student,Low,Active,0,0,0,0.0,0.0,0.0,0,,
152,Debra Ortiz,Retail,Medium,Active,1,1,0,45676.52,45676.52,0.0,0,2024-07-04,2024-07-04
153,Joseph Hanson,Premium,Low,Active,1,1,0,40688.86,40688.86,2000.0,0,2025-09-13,2025-09-13
154,Yolanda Green,Student,Medium,Active,1,1,0,6860.2,6860.2,500.0,0,2024-05-15,2024-05-15
155,David Stokes,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
156,Sharon James,Business,Low,Active,3,3,0,109953.59,36651.2,1000.0,0,2024-12-25,2025-10-08
157,Caroline Duran,Student,Medium,Active,1,1,0,50221.12,50221.12,0.0,0,2024-10-29,2024-10-29
158,Haley Anderson,Retail,Low,Active,1,1,0,70029.16,70029.16,0.0,0,2025-11-06,2025-11-06
159,Nicholas Anderson,Business,Low,Active,0,0,0,0.0,0.0,0.0,0,,
160,Kara Hernandez,Retail,Low,Active,2,2,0,186311.33,93155.67,52000.0,0,2023-07-09,2024-06-17
161,Joshua Lozano,Retail,Medium,Active,3,3,0,107833.54,35944.51,6000.0,1,2025-06-27,2025-12-22
162,Sarah Ward,Retail,Low,Active,3,3,0,248289.19,82763.06,27500.0,0,2023-03-22,2024-10-04
163,James Bryant,Premium,Medium,Active,1,1,0,17065.94,17065.94,2000.0,0,2025-07-06,2025-07-06
164,Peggy Carr,Business,Medium,Active,3,3,0,37719.7,12573.23,500.0,0,2023-02-06,2025-05-07
165,Mr. Martin Hernandez,Retail,Medium,Active,2,2,0,244446.98,122223.49,50000.0,0,2025-06-16,2025-11-25
166,Joan Gates,Retail,Low,Active,1,1,0,46763.77,46763.77,0.0,0,2025-12-11,2025-12-11
167,Anthony Walker,Premium,Low,Inactive,2,2,0,140391.92,70195.96,51000.0,0,2024-03-02,2025-12-27
168,Rodney Newton MD,Premium,Low,Active,1,1,0,-1450.44,-1450.44,5000.0,1,2025-07-17,2025-07-17
169,Noah Tran,Student,High,Active,1,1,0,7079.13,7079.13,1000.0,0,2025-03-25,2025-03-25
170,Grant Phillips,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
171,Lauren Bender,Student,Low,Active,1,0,1,41740.73,41740.73,0.0,0,2024-04-12,2024-04-12
172,Antonio Mueller,Business,Low,Active,3,3,0,140986.93,46995.64,1500.0,0,2025-10-17,2025-11-18
173,Christina Melton,Retail,Medium,Active,1,1,0,4043.63,4043.63,0.0,0,2023-07-19,2023-07-19
174,Ryan Smith,Premium,High,Active,4,4,0,76066.87,19016.72,4500.0,0,2025-02-27,2025-09-04
175,Jennifer Bailey,Student,Low,Active,1,1,0,40399.13,40399.13,0.0,0,2024-07-17,2024-07-17
176,Robert Wilson,Student,Medium,Active,2,2,0,67235.13,33617.57,5000.0,0,2023-10-05,2023-12-06
177,Mark Lewis,Retail,Low,Active,1,1,0,48676.66,48676.66,0.0,0,2024-07-09,2024-07-09
178,Jerry Sullivan,Retail,Low,Active,2,2,0,45804.4,22902.2,0.0,1,2023-08-15,2025-07-06
179,Jessica Foster,Premium,High,Active,0,0,0,0.0,0.0,0.0,0,,
180,Paul Berger,Business,Low,Active,0,0,0,0.0,0.0,0.0,0,,
181,Craig Carpenter,Student,Medium,Active,1,1,0,38466.74,38466.74,2000.0,0,2024-09-19,2024-09-19
182,Daniel Singh,Retail,High,Active,2,2,0,42883.07,21441.54,2000.0,0,2025-04-05,2025-11-17
183,Lori Luna,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
184,Jordan Sanders,Retail,Low,Inactive,0,0,0,0.0,0.0,0.0,0,,
185,Jesse Williams,Retail,High,Active,1,1,0,40543.08,40543.08,1000.0,0,2025-06-02,2025-06-02
186,Heather Parrish,Retail,Low,Active,1,1,0,57988.15,57988.15,2000.0,0,2024-09-01,2024-09-01
187,Kevin Holland,Student,Low,Active,2,2,0,84290.07,42145.04,5000.0,0,2023-11-29,2024-10-13
188,Willie Dillon,Business,Very High,Active,1,1,0,65597.41,65597.41,0.0,0,2023-10-27,2023-10-27
189,Joseph Blankenship,Premium,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
190,Andrew Moreno,Student,Low,Active,1,1,0,2105.13,2105.13,300.0,0,2025-10-06,2025-10-06
191,Rachel Lane,Retail,Low,Closed,2,2,0,18977.85,9488.93,5000.0,0,2023-11-26,2024-11-25
192,Justin King,Retail,Medium,Active,1,1,0,38884.33,38884.33,5000.0,0,2025-11-03,2025-11-03
193,Mark Brock,Retail,Low,Active,2,2,0,188467.63,94233.82,5500.0,0,2025-12-21,2025-12-27
194,Samuel Galvan,Student,Medium,Active,1,1,0,72426.42,72426.42,0.0,0,2025-09-19,2025-09-19
195,Andrea Davis,Premium,Low,Active,0,0,0,0.0,0.0,0.0,0,,
196,Gina Wilson,Business,Low,Active,1,1,0,-4401.95,-4401.95,0.0,1,2024-10-21,2024-10-21
197,Kelli Smith,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
198,Cynthia Allen,Student,Low,Active,1,1,0,26604.83,26604.83,5000.0,0,2024-03-22,2024-03-22
199,Sierra Andrews,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
200,Jamie Garcia,Premium,Low,Active,0,0,0,0.0,0.0,0.0,0,,
201,Veronica Parks,Student,Low,Active,1,1,0,28780.43,28780.43,500.0,0,2025-11-09,2025-11-09
202,Michael Brown,Business,Low,Closed,0,0,0,0.0,0.0,0.0,0,,
203,Michael Freeman,Premium,Low,Active,1,1,0,191479.02,191479.02,25000.0,0,2025-11-30,2025-11-30
204,Priscilla Mcmillan,Business,Medium,Active,1,1,0,51154.63,51154.63,5000.0,0,2025-10-06,2025-10-06
205,Christopher Pena,Retail,Low,Active,1,1,0,21693.54,21693.54,2000.0,0,2024-05-13,2024-05-13
206,Melissa Thompson,Business,Low,Active,1,1,0,18885.84,18885.84,500.0,0,2025-02-06,2025-02-06
207,Olivia Taylor,Retail,Low,Active,1,1,0,47285.4,47285.4,0.0,0,2025-08-22,2025-08-22
208,Christopher Mclaughlin,Retail,Low,Active,3,3,0,74081.08,24693.69,50000.0,0,2024-02-21,2025-12-01
209,Marcus Lopez,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
210,Robert Bolton,Premium,Medium,Active,1,1,0,2398.55,2398.55,0.0,0,2023-09-08,2023-09-08
211,Nicolas Davis,Premium,Low,Active,1,1,0,1463.69,1463.69,5000.0,0,2023-07-30,2023-07-30
212,Jeffrey Smith,Retail,Low,Active,1,1,0,50026.98,50026.98,0.0,0,2024-08-12,2024-08-12
213,Rebecca Martinez,Premium,Medium,Blocked,2,2,0,100548.6,50274.3,2000.0,0,2025-07-13,2025-10-28
214,Erica Mcdonald,Retail,Low,Active,1,1,0,48704.42,48704.42,0.0,0,2025-08-17,2025-08-17
215,Michael Cannon,Retail,Low,Active,3,3,0,107702.71,35900.9,54000.0,0,2024-05-07,2025-05-31
216,Daniel Robbins,Student,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
217,Toni Davis,Retail,Medium,Active,2,2,0,69615.73,34807.87,500.0,0,2024-11-25,2025-10-15
218,Krista Wagner,Retail,Low,Inactive,1,1,0,135688.6,135688.6,10000.0,0,2025-11-13,2025-11-13
219,April Johnson,Student,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
220,Henry Taylor,Retail,Medium,Active,1,0,1,45899.86,45899.86,5000.0,0,2025-11-24,2025-11-24
221,Tammy Cook,Premium,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
222,Yolanda Maddox,Business,Medium,Active,2,2,0,42223.45,21111.73,6000.0,1,2025-03-17,2025-09-12
223,Kenneth Hoffman,Student,Low,Active,3,3,0,74538.45,24846.15,0.0,0,2025-01-31,2025-04-30
224,Gregory Underwood,Retail,Low,Active,3,3,0,108969.52,36323.17,0.0,0,2022-10-20,2025-07-27
225,Gary Singh,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
226,Tony Jones,Retail,Medium,Active,1,1,0,27916.03,27916.03,5000.0,0,2024-09-28,2024-09-28
227,Thomas Torres,Premium,Medium,Active,3,3,0,169137.93,56379.31,10000.0,0,2025-04-24,2025-09-26
228,James Yu,Retail,Medium,Active,1,1,0,62639.11,62639.11,10000.0,0,2024-12-13,2024-12-13
229,Justin Fry,Premium,Low,Active,2,2,0,91670.81,45835.41,2000.0,0,2025-11-10,2025-11-26
230,Alexander Miller,Retail,High,Active,3,2,1,45527.15,15175.72,0.0,0,2024-12-19,2025-06-10
231,Andrea Ho,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
232,Amanda Forbes,Retail,Medium,Active,1,1,0,55565.18,55565.18,1000.0,0,2025-09-08,2025-09-08
233,Stephanie Ford,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
234,Fred Wong,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
235,Krystal Keller,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
236,Katherine Robinson,Premium,Low,Active,3,3,0,127458.36,42486.12,6000.0,0,2025-12-27,2025-12-31
237,Amber Butler,Business,Medium,Closed,2,2,0,81166.83,40583.42,12000.0,0,2023-11-18,2024-06-24
238,Bryan Villarreal,Business,Medium,Active,4,4,0,112937.41,28234.35,31500.0,1,2022-11-04,2024-12-16
239,Lisa Crawford,Premium,Low,Active,1,1,0,2802.3,2802.3,500.0,0,2025-08-13,2025-08-13
240,Marcia Smith,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
241,Karen Burton,Student,Medium,Active,1,1,0,26810.21,26810.21,0.0,0,2023-08-05,2023-08-05
242,Jean Larson,Student,Low,Active,2,2,0,61147.49,30573.75,0.0,0,2025-05-11,2025-09-10
243,Susan Moore,Retail,High,Active,1,1,0,4754.73,4754.73,5000.0,0,2024-06-20,2024-06-20
244,Ralph Reese,Business,Low,Active,3,3,0,39291.9,13097.3,1500.0,1,2025-10-14,2025-12-28
245,Tony Brock,Retail,Low,Active,2,2,0,227962.15,113981.08,5500.0,0,2023-12-28,2024-04-25
246,Craig Chang,Retail,Medium,Active,1,1,0,6735.95,6735.95,300.0,0,2025-02-01,2025-02-01
247,Mary Mccormick,Retail,Medium,Active,3,3,0,68701.28,22900.43,3000.0,0,2022-12-03,2025-09-19
248,Andrea Turner,Retail,Low,Active,1,1,0,37303.6,37303.6,5000.0,0,2024-10-31,2024-10-31
249,Julie Peters,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
250,Jillian Harris,Student,Low,Active,2,2,0,121951.55,60975.78,1000.0,0,2024-04-16,2025-12-03
251,Samantha Howard,Business,Medium,Inactive,2,2,0,50865.54,25432.77,2500.0,0,2023-07-06,2023-12-15
252,Shane Martinez,Premium,Low,Active,1,1,0,47415.01,47415.01,0.0,0,2023-11-07,2023-11-07
253,Darius Coleman,Retail,Low,Active,2,2,0,112992.92,56496.46,2000.0,0,2025-12-16,2025-12-27
254,Blake Wu,Premium,Medium,Active,1,1,0,17156.77,17156.77,5000.0,0,2025-04-06,2025-04-06
255,John Jackson,Premium,Medium,Active,1,1,0,3240.39,3240.39,500.0,0,2025-12-01,2025-12-01
256,Christopher Patton,Retail,High,Active,0,0,0,0.0,0.0,0.0,0,,
257,John Alvarez,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
258,Marissa Nelson,Student,High,Active,2,2,0,60998.07,30499.04,4000.0,0,2023-09-24,2025-02-13
259,Melissa Bell,Retail,Low,Active,4,4,0,114357.59,28589.4,10500.0,0,2024-09-05,2025-11-27
